Python,Cython
0.08966, 0.01017
0.07902, 0.01016
0.07888, 0.01016
0.07938, 0.01015
0.07928, 0.01017
0.07902, 0.01018
0.07930, 0.01016
0.08027, 0.01016
0.07891, 0.01017
0.07959, 0.01017
0.07935, 0.01018
0.07971, 0.01017
0.07922, 0.01016
0.07887, 0.01016
0.07957, 0.01015
0.07918, 0.01016
0.07907, 0.01018
0.07923, 0.01015
0.07980, 0.01017
0.07623, 0.00962
0.07516, 0.00962
0.07519, 0.00963
0.07503, 0.00961
0.07497, 0.00960
0.07539, 0.00961
0.07655, 0.00965
0.07709, 0.00985
0.07648, 0.00962
0.07502, 0.00984
0.07813, 0.00991
