Python,Cython
0.00024, 0.00001
0.00025, 0.00000
0.00021, 0.00000
0.00024, 0.00000
0.00026, 0.00000
0.00036, 0.00001
0.00027, 0.00001
0.00027, 0.00000
0.00026, 0.00000
0.00036, 0.00000
0.00031, 0.00000
0.00021, 0.00000
0.00020, 0.00000
0.00019, 0.00000
0.00022, 0.00000
0.00023, 0.00000
0.00020, 0.00000
0.00019, 0.00000
0.00019, 0.00001
0.00023, 0.00000
0.00022, 0.00001
0.00019, 0.00000
0.00022, 0.00000
0.00023, 0.00000
0.00023, 0.00001
0.00023, 0.00000
0.00022, 0.00000
0.00022, 0.00000
0.00022, 0.00000
0.00020, 0.00000
